,domain,source
100,drnorthrup.com,['mbfc (conspiracy-pseudo-science)']
101,earthpulse.com,['mbfc (conspiracy-pseudo-science)']
102,ecology.news,['mbfc (conspiracy-pseudo-science)']
103,educateinspirechange.org,['mbfc (conspiracy-pseudo-science)']
104,educate-yourself.org,['mbfc (conspiracy-pseudo-science)']
105,electroverse.net,['mbfc (conspiracy-pseudo-science)']
106,eluxemagazine.com,['mbfc (conspiracy-pseudo-science)']
107,ewg.org,['mbfc (conspiracy-pseudo-science)']
108,escapeallthesethings.com,['mbfc (conspiracy-pseudo-science)']
109,eugenics.news,['mbfc (conspiracy-pseudo-science)']
110,europereloaded.com,['mbfc (conspiracy-pseudo-science)']
111,evolutionnews.org,['mbfc (conspiracy-pseudo-science)']
112,fabiosa.com,['mbfc (conspiracy-pseudo-science)']
113,faithit.com,['mbfc (conspiracy-pseudo-science)']
114,faithpanda.com,['mbfc (conspiracy-pseudo-science)']
115,foodbabe.com,['mbfc (conspiracy-pseudo-science)']
116,foodmatters.com,['mbfc (conspiracy-pseudo-science)']
117,food.news,['mbfc (conspiracy-pseudo-science)']
118,foreverconscious.com,['mbfc (conspiracy-pseudo-science)']
119,thefreethoughtproject.com,['mbfc (conspiracy-pseudo-science)']
120,freedomadvocates.org,['mbfc (conspiracy-pseudo-science)']
121,freedomainradio.com,['mbfc (conspiracy-pseudo-science)']
122,freedom.news,['mbfc (conspiracy-pseudo-science)']
123,friendsofscience.org,['mbfc (conspiracy-pseudo-science)']
124,covid19criticalcare.com,['mbfc (conspiracy-pseudo-science)']
125,gaia.com,['mbfc (conspiracy-pseudo-science)']
126,gender.news,['mbfc (conspiracy-pseudo-science)']
127,geoengineering.news,['mbfc (conspiracy-pseudo-science)']
128,geoengineeringwatch.org,['mbfc (conspiracy-pseudo-science)']
129,getholistichealth.com,['mbfc (conspiracy-pseudo-science)']
130,glitch.news,['mbfc (conspiracy-pseudo-science)']
131,globalhealingcenter.com,['mbfc (conspiracy-pseudo-science)']
132,globalresearch.ca,['mbfc (conspiracy-pseudo-science)']
133,globalskywatch.com,['mbfc (conspiracy-pseudo-science)']
134,gmowatch.com,['mbfc (conspiracy-pseudo-science)']
135,gmwatch.org,['mbfc (conspiracy-pseudo-science)']
136,godlikeproductions.com,['mbfc (conspiracy-pseudo-science)']
137,goop.com,['mbfc (conspiracy-pseudo-science)']
138,gotquestions.org,['mbfc (conspiracy-pseudo-science)']
139,govtslaves.com,['mbfc (conspiracy-pseudo-science)']
140,greenmedinfo.com,['mbfc (conspiracy-pseudo-science)']
141,greenpeace.org,['mbfc (conspiracy-pseudo-science)']
142,wordpress.com,['mbfc (conspiracy-pseudo-science)']
143,healingfoodreference.com,['mbfc (conspiracy-pseudo-science)']
144,healingoracle.ch,['mbfc (conspiracy-pseudo-science)']
145,healthimpactnews.com,['mbfc (conspiracy-pseudo-science)']
146,health.news,['mbfc (conspiracy-pseudo-science)']
147,healthnutnews.com,['mbfc (conspiracy-pseudo-science)']
148,healthrangerreport.com,['mbfc (conspiracy-pseudo-science)']
149,hsionline.com,['mbfc (conspiracy-pseudo-science)']
150,healthyandnaturalworld.com,['mbfc (conspiracy-pseudo-science)']
151,healthyfoodhouse.com,['mbfc (conspiracy-pseudo-science)']
152,healthy-holistic-living.com,"['mbfc (conspiracy-pseudo-science)', 'feedly.com']"
153,savethemales.ca,['mbfc (conspiracy-pseudo-science)']
154,herb.co,['mbfc (conspiracy-pseudo-science)']
155,herbreference.com,['mbfc (conspiracy-pseudo-science)']
